resonance,energy,part3_absT2,bw_theta_0.05,bw_theta_0.10,bw_theta_0.15,bw_theta_0.20,bw_theta_0.25
2,1.35536074208054,0.335490160909919,0.231262742956931,0.23126274384604,0.231262745057869,0.231262736979352,0.231262745710775
2,1.35551638410389,0.333367089488729,0.229309009666281,0.229309011569414,0.229309012761271,0.229309004744434,0.229309013443346
2,1.35567202612724,0.331265430078858,0.227377512871592,0.227377515765589,0.227377516937796,0.227377508982122,0.227377517648305
2,1.35582766815058,0.329184347237014,0.225467960653766,0.225467964515925,0.225467965668797,0.225467957773771,0.225467966407021
2,1.35598331017393,0.327126325774867,0.223580064814341,0.22358006962241,0.223580070756259,0.223580062921366,0.223580071521492
2,1.35613895219728,0.325090011422683,0.221713540851594,0.22171354658376,0.221713547698894,0.221713539923622,0.221713548490445
2,1.35629459422062,0.323074106294863,0.219868107935335,0.219868114570221,0.21986811566694,0.219868107950779,0.219868116484135
2,1.35645023624397,0.321078379141081,0.218043488880537,0.218043496397191,0.218043497475793,0.218043489818235,0.218043498317969
2,1.35660587826732,0.319102601087161,0.216239410119811,0.216239418497701,0.216239419558476,0.216239411959017,0.216239420424985
2,1.35676152029066,0.317146545618579,0.214455601674905,0.214455610893909,0.214455611937146,0.214455604395282,0.214455612827354
2,1.35691716231401,0.315210854328553,0.212691797127243,0.212691807167644,0.212691808193625,0.212691800708856,0.212691809106911
2,1.35707280433735,0.31329583699577,0.210947733587599,0.210947744430076,0.210947745439079,0.210947738010907,0.210947746374835
2,1.3572284463607,0.311400048521471,0.209223151665026,0.209223163290646,0.209223164282945,0.209223156910876,0.209223165240576
2,1.35738408838405,0.309522942652054,0.207517795435027,0.207517807825242,0.207517808801106,0.207517801484647,0.207517809780028
2,1.35753973040739,0.307664415236739,0.205831412407129,0.205831425543765,0.205831426503459,0.205831419242122,0.205831427503103
2,1.35769537243074,0.30582425449606,0.204163753491851,0.204163767357103,0.204163768300887,0.204163761094184,0.204163769320694
2,1.35785101445409,0.304003046703924,0.202514572967153,0.202514587543576,0.202514588471707,0.202514581319156,0.202514589511131
2,1.35800665647743,0.302201203028227,0.200883628444453,0.200883643714959,0.200883644627687,0.200883637528809,0.200883645686194
2,1.35816229850078,0.300417059620081,0.1992706808342,0.199270696782046,0.199270697679621,0.199270690633937,0.199270698756686
2,1.35831794052412,0.298650414576767,0.197675494311125,0.197675510919913,0.197675511802578,0.197675504809615,0.19767551289769
2,1.35847358254747,0.296901068252302,0.196097836279174,0.196097853532838,0.196097854400834,0.19609784746012,0.196097855513491
2,1.35862922457082,0.2951687199688,0.194537477336166,0.194537495218971,0.194537496072533,0.194537489183602,0.194537497202245
2,1.35878486659416,0.293454215584328,0.192994191238268,0.192994209734802,0.192994210574161,0.192994203736549,0.192994211720449
2,1.35894050861751,0.291757647621485,0.191467754864268,0.191467773959432,0.191467774784818,0.191467767998064,0.191467775947211
2,1.35909615064086,0.29007756036113,0.189957948179709,0.189957967858717,0.189957968670353,0.189957961934001,0.189957969848393
2,1.3592517926642,0.288413765926482,0.188464554200949,0.188464574449319,0.188464575247426,0.188464568561021,0.188464576440663
2,1.35940743468755,0.286766078599892,0.18698735895912,0.186987379762668,0.186987380547463,0.186987373910554,0.186987381755456
2,1.3595630767109,0.285134314820278,0.18552615146408,0.185526172808914,0.185526173580611,0.185526166992752,0.185526174802931
2,1.35971871873424,0.283518964912252,0.184080723668348,0.184080745540864,0.184080746299672,0.184080739760419,0.184080747535897
2,1.35987436075759,0.281919608547776,0.182650870431053,0.182650892817927,0.182650893564053,0.182650887072966,0.182650894813772
2,1.36003000278093,0.280337226323392,0.181236389481961,0.181236412370145,0.181236413103792,0.181236406660435,0.181236414366602
2,1.36018564480428,0.278769202713816,0.179837081385544,0.179837104762261,0.179837105483629,0.179837099087569,0.179837106759136
2,1.36034128682763,0.277216178967677,0.178452749505179,0.178452773357917,0.178452774067202,0.17845276771801,0.17845277535502
