energy,part3_absT2,breit_wigner_E1,breit_wigner_E2,breit_wigner_E3,breit_wigner_E4,breit_wigner_E5
1.61756616643929,0.199057232504661,3.41820003354028e-09,0.00282213632419994,0.519753585620779,0.553942727498362,0.637641635857917
1.61892951341519,0.201439454275549,3.40886696178606e-09,0.00279589427513371,0.523843991475794,0.555273496585263,0.638393790726028
1.62029286039109,0.203858007145963,3.39957206251666e-09,0.00277001621907575,0.527964963770548,0.556607064472537,0.639146493017949
1.62165620736699,0.206313309769928,3.39031512784705e-09,0.00274449546141901,0.532116419496831,0.557943425360072,0.639899740324633
1.62301955434288,0.2088057811888,3.38109595130541e-09,0.00271932546062228,0.536298260925687,0.559282573282621,0.640653530219347
1.62438290131878,0.211335840543396,3.37191432782167e-09,0.00269449982403345,0.540510375084574,0.560624502108196,0.641407860257623
1.62574624829468,0.213903906781812,3.36277005371607e-09,0.00267001230384508,0.544752633224718,0.561969205536457,0.642162727977192
1.62710959527058,0.216510398346757,3.35366292668788e-09,0.00264585679317734,0.549024890278852,0.563316677097102,0.642918130897929
1.62847294224648,0.219155732844434,3.3445927458042e-09,0.00262202732228393,0.553326984309596,0.56466691014824,0.6436740665218
1.62983628922237,0.221840326716091,3.33555931148888e-09,0.00259851805487657,0.557658735948728,0.566019897874765,0.644430532332799
1.63119963619827,0.224564594875257,3.32656242551154e-09,0.00257532328456374,0.562019947827656,0.56737563328672,0.645187525796893
1.63256298317417,0.227328950349031,3.31760189097672e-09,0.00255243743139972,0.566410403999435,0.568734109217652,0.645945044361967
1.63392633015007,0.230133803882396,3.30867751231305e-09,0.00252985503854008,0.5708298693527,0.57009531832297,0.646703085457766
1.63528967712597,0.232979563556368,3.29978909526266e-09,0.00250757076899976,0.575278089017945,0.571459253078287,0.647461646495836
1.63665302410186,0.235866634357495,3.29093644687052e-09,0.00248557940251029,0.579754787766593,0.572825905777764,0.64822072486947
1.63801637107776,0.238795417765508,3.28211937547403e-09,0.00246387583247264,0.58425966940338,0.57419526853244,0.648980317953653
1.63937971805366,0.241766311291178,3.27333769069264e-09,0.0024424550630024,0.588792416152593,0.575567333268565,0.649740423105001
1.64074306502956,0.244779708026177,3.26459120341754e-09,0.00242131220606408,0.593352688038766,0.576942091725923,0.650501037661709
1.64210641200546,0.2478359961617,3.25587972580151e-09,0.00240044247869159,0.597940122262478,0.578319535456148,0.651262158943494
1.64346975898136,0.250935558492593,3.24720307124882e-09,0.00237984120029179,0.602554332571962,0.579699655821039,0.652023784251539
1.64483310595725,0.25407877190218,3.23856105440523e-09,0.00235950379002837,0.607194908631272,0.581082443990866,0.652785910868435
1.64619645293315,0.257266006847137,3.22995349114813e-09,0.00233942576428339,0.61186141538582,0.582467890942677,0.65354853605813
1.64755979990905,0.26049762679165,3.22138019857668e-09,0.00231960273419376,0.616553392426144,0.583855987458592,0.654311657065871
1.64892314688495,0.263773987662229,3.21284099500212e-09,0.00230003040326019,0.621270353350849,0.585246724124099,0.655075271118148
1.65028649386085,0.267095437255358,3.20433569993817e-09,0.00228070456502619,0.626011785129675,0.586640091326345,0.65583937542264
1.65164984083674,0.270462314648569,3.19586413409143e-09,0.0022616211008248,0.630777147467774,0.588036079252418,0.656603967168163
1.65301318781264,0.273874949579948,3.187426119352e-09,0.00224277597759073,0.635565872172277,0.589434677887628,0.657369043524608
1.65437653478854,0.277333661822363,3.17902147878404e-09,0.00222416524573585,0.64037736252235,0.59083587701379,0.658134601642896
1.65573988176444,0.280838760527159,3.17065003661659e-09,0.00220578503708589,0.645210992643955,0.592239666207491,0.658900638654913
1.65710322874034,0.284390543561288,3.1623116182343e-09,0.00218763156287631,0.650066106890648,0.593646034838364,0.659667151673468
1.65846657571623,0.287989296832152,3.15400605016836e-09,0.00216970111180551,0.654942019231767,0.595054972067354,0.660434137792226
1.65982992269213,0.291635293576836,3.14573316008747e-09,0.00215199004814339,0.659838012649472,0.596466466844981,0.661201594085667
1.66119326966803,0.295328793655243,3.13749277678891e-09,0.00213449480989362,0.664753338546137,0.597880507909602,0.661969517609022
1.66255661664393,0.299070042814955,3.12928473018967e-09,0.00211721190700768,0.669687216163688,0.599297083785671,0.662737905398226
1.66391996361983,0.30285927194773,3.12110885131767e-09,0.00210013791964926,0.674638832016521,0.600716182781991,0.663506754469862
