E,T_real,T_imag,R_real,R_imag,absT2,absR2,unitarity_error
0.621182936594222,-0.03797918401539531,-0.2620419223196583,-0.9543374195322157,0.13831739635523113,0.07010838747145709,0.9298916124538985,7.464440177074039e-11
0.6211879397211764,-0.035670981913375824,-0.25665054593104153,-0.9566500471465584,0.1329615193995884,0.06714192167736607,0.9328580783465594,2.392552822527705e-11
0.6211929428481306,-0.0335191917595247,-0.2514605149723085,-0.958806261508591,0.127806987744425,0.06435592680635037,0.9356440732243844,3.073474807990806e-11
0.621197945975085,-0.03151094755801154,-0.24646184801002996,-0.9608189286128309,0.12284381996706276,0.06173638234052287,0.9382636176848083,2.5331070574452497e-11
0.6212029491020393,-0.029634627534525976,-0.2416451121578812,-0.9626996702344,0.11806258317716865,0.05927057137890507,0.9407294286158884,5.206501896282134e-12
0.6212079522289937,-0.027879716035777397,-0.23700139603669315,-0.9644590020261913,0.11345436598313216,0.05694694028957705,0.9430530597499914,3.9568570642245504e-11
0.621212955355948,-0.02623668404384784,-0.23252228548368456,-0.9661064530052723,0.10901075423963882,0.054754976836172795,0.9452450230783234,8.550382624150643e-11
0.6212179584829024,-0.024696884510756533,-0.22819984226872897,-0.9676506702214897,0.10472380970794697,0.05268510411601043,0.9473148958998444,1.5854872970066936e-11
0.6212229616098567,-0.02325245735483459,-0.2240265715136931,-0.9690995137546384,0.10058603751383917,0.050728581517218235,0.9492714185022122,1.9430457243174715e-11
0.6212279647368111,-0.02189624863604169,-0.21999540191441114,-0.9704601375461305,0.09659036634530681,0.04887742256781463,0.9511225774367751,4.589661983800397e-12
0.6212329678637655,-0.020621738124318098,-0.21609966150812324,-0.9717390618252033,0.0927301242520681,0.04712431978719339,0.9528756802207304,7.923883771354667e-12
0.6212379709907198,-0.01942297428512117,-0.2123330521326454,-0.9729422381267687,0.08899901306072913,0.04546257695804519,0.9545374230569098,1.4954926186305784e-11
