energy,transmission,reflection,unitarity_error
0.167666666667,1.93743434744e-12,0.999999999996,1.77491354947e-12
0.1696,2.0429311585e-12,1.00000000001,1.45121692441e-11
0.171533333333,2.15397150395e-12,0.999999999985,1.28236310459e-11
0.173466666667,2.27084251586e-12,1,5.24758014819e-12
0.1754,2.39384618178e-12,0.999999999987,1.05164765785e-11
0.177333333333,2.52330012123e-12,0.999999999985,1.2956524742e-11
0.179266666667,2.65953840303e-12,1.00000000001,9.3731689077e-12
0.1812,2.8029124072e-12,0.999999999987,1.06368247543e-11
0.183133333333,2.95379173254e-12,1,3.6204372833e-12
0.185066666667,3.11256515266e-12,1.00000000001,8.96571705766e-12
0.187,3.27964162305e-12,1,7.64321939073e-12
0.188933333333,3.45545134317e-12,1.00000000001,1.49626977475e-11
0.190866666667,3.64044687277e-12,0.99999999997,2.66708877206e-11
0.1928,3.83510431143e-12,1,3.52007312188e-12
0.194733333333,4.03992453686e-12,0.999999999984,1.23623333792e-11
0.196666666667,4.2554345144e-12,0.999999999994,1.96931360108e-12
0.1986,4.48218867208e-12,0.99999999999,5.85687054411e-12
0.200533333333,4.72077035365e-12,0.999999999983,1.19907417329e-11
0.202466666667,4.97179334652e-12,0.999999999997,2.41340281093e-12
0.2044,5.23590349486e-12,0.999999999997,1.94377847151e-12
0.206333333333,5.513780398e-12,0.999999999968,2.67759148187e-11
0.208266666667,5.80613920333e-12,0.999999999997,3.23563398297e-12
0.2102,6.11373249358e-12,0.999999999986,8.18123346846e-12
0.212133333333,6.43735228156e-12,0.999999999981,1.23611121339e-11
0.214066666667,6.77783210968e-12,0.999999999988,5.10180786506e-12
0.216,7.13604926869e-12,0.999999999986,6.56918963671e-12
0.217933333333,7.51292713521e-12,0.999999999988,4.69491112653e-12
0.219866666667,7.90943764105e-12,1.00000000001,1.73734360231e-11
0.2218,8.32660387595e-12,0.999999999985,6.75537403794e-12
0.223733333333,8.76550283786e-12,0.999999999988,3.07653902354e-12
0.225666666667,9.22726833208e-12,1,1.04098951681e-11
0.2276,9.71309403363e-12,0.999999999988,1.94555482835e-12
0.229533333333,1.0224236718e-11,0.99999999999,3.64597241287e-13
0.231466666667,1.07620196722e-11,0.999999999973,1.63329350045e-11
0.2334,1.13278362963e-11,0.999999999986,2.4436008772e-12
0.235333333333,1.19231539034e-11,0.999999999989,8.5842444264e-13
0.237266666667,1.25495177333e-11,0.999999999985,2.19180229521e-12
0.2392,1.32085551897e-11,0.999999999984,2.74824607516e-12
0.241133333333,1.39019803141e-11,0.999999999993,7.14472925267e-12
0.243066666667,1.46315985106e-11,0.999999999982,3.68571839715e-12
0.245,1.53993115357e-11,0.99999999999,5.88062931683e-12
0.246933333333,1.62071227705e-11,0.999999999996,1.21815890708e-11
0.248866666667,1.70571427851e-11,0.999999999976,7.10598246911e-12
0.2508,1.79515952284e-11,0.999999999985,3.05910852205e-12
0.252733333333,1.88928230371e-11,0.999999999981,1.40887301825e-13
0.254666666667,1.98832950133e-11,0.999999999971,8.85591600053e-12
0.2566,2.09256127656e-11,0.999999999982,2.50977016947e-12
0.258533333333,2.20225180557e-11,0.999999999979,5.23581178413e-13
0.260466666667,2.31769005595e-11,0.999999999973,4.13347134298e-12
0.2624,2.43918060841e-11,0.99999999997,5.1396664702e-12
0.264333333333,2.56704452474e-11,0.999999999967,7.7456929759e-12
0.266266666667,2.70162026754e-11,0.999999999979,5.83888493111e-12
0.2682,2.84326467136e-11,0.99999999997,1.185607168e-12
0.270133333333,2.992353973e-11,0.999999999962,7.74480479748e-12
0.272066666667,3.14928489883e-11,0.999999999965,3.81583653564e-12
0.274,3.31447581867e-11,0.999999999957,9.48985334759e-12
0.275933333333,3.48836796494e-11,0.999999999973,7.97295562904e-12
0.277866666667,3.67142672499e-11,0.999999999959,4.27846647e-12
0.2798,3.86414300854e-11,0.999999999963,1.2534417948e-12
0.281733333333,4.06703469664e-11,0.999999999957,2.7364777111e-12
0.283666666667,4.28064817533e-11,0.999999999956,7.99027510823e-13
0.2856,4.50555996147e-11,0.999999999956,1.21658239038e-12
0.287533333333,4.7423784233e-11,0.999999999948,4.22628598784e-12
0.289466666667,4.99174560621e-11,0.999999999952,1.64024349658e-12
0.2914,5.25433916425e-11,0.99999999995,2.6962876376e-12
0.293333333333,5.53087441087e-11,0.99999999995,4.94182472721e-12
0.295266666667,5.82210648866e-11,0.999999999942,5.85975712397e-13
0.2972,6.12883267506e-11,0.999999999938,1.00008890058e-12
0.299133333333,6.45189482138e-11,0.999999999936,9.64783808399e-13
